building,floor,electricity,water,status,timestamp
Building C,1,99.14,238.57,normal,2025-11-16T21:55:48.644025+00:00
Building A,4,258.56,607.61,anomaly,2025-11-19T06:29:16.644025+00:00
Building A,2,115.4,224.7,normal,2025-11-24T03:36:32.644025+00:00
Building B,3,269.66,520.4,anomaly,2025-12-14T20:27:04.644025+00:00
Building C,1,131.1,234.05,normal,2025-12-04T12:43:59.644025+00:00
Building B,3,85.6,225.7,normal,2025-11-27T00:14:49.644025+00:00
Building B,2,269.62,555.79,anomaly,2025-12-09T05:22:44.644025+00:00
Building C,3,84.65,182.04,normal,2025-12-14T04:16:55.644025+00:00
Building C,4,160.91,263.28,normal,2025-11-29T18:27:32.644025+00:00
Building B,5,137.37,253.94,normal,2025-12-07T17:06:51.644025+00:00
Building A,2,77.59,136.86,normal,2025-11-17T07:37:24.644025+00:00
Building B,4,135.97,262.11,normal,2025-12-11T11:15:04.644025+00:00
Building B,3,150.91,212.35,normal,2025-12-12T15:19:47.644025+00:00
Building C,3,113.87,251.91,normal,2025-12-12T15:34:14.644025+00:00
Building A,4,111.47,249.52,normal,2025-12-04T22:54:55.644025+00:00
Building C,2,310.4,568.18,anomaly,2025-11-20T04:59:29.644025+00:00
Building C,4,135.78,295.09,normal,2025-12-12T16:11:55.644025+00:00
Building C,4,116.42,185.08,normal,2025-11-27T11:02:13.644025+00:00
Building B,5,136.94,200.21,normal,2025-11-19T00:58:28.644025+00:00
Building C,2,118.01,225.79,normal,2025-12-04T00:57:30.644025+00:00
Building A,1,132.46,182.63,normal,2025-12-03T17:14:58.644025+00:00
Building A,2,123.52,228.71,normal,2025-12-02T23:12:40.644025+00:00
Building C,1,91.92,162.77,normal,2025-12-10T21:54:41.644025+00:00
Building A,3,70.96,204.96,normal,2025-12-13T00:02:22.644025+00:00
Building A,5,119.95,279.93,normal,2025-11-29T15:35:26.644025+00:00
Building A,5,137.91,230.84,normal,2025-11-18T21:10:18.644025+00:00
Building C,5,159.17,188.85,normal,2025-12-13T10:01:12.644025+00:00
Building C,1,116.84,174.68,normal,2025-11-27T14:38:25.644025+00:00
Building A,4,73.9,166.07,normal,2025-11-23T07:18:03.644025+00:00
Building A,5,112.17,226.06,normal,2025-12-15T20:09:51.644025+00:00
Building B,3,181.79,293.41,normal,2025-11-25T11:06:49.644025+00:00
Building A,3,260.89,571.03,anomaly,2025-11-23T04:05:56.644025+00:00
Building B,3,156.94,299.77,normal,2025-12-02T21:25:10.644025+00:00
Building A,1,74.28,189.57,normal,2025-11-20T01:27:50.644025+00:00
Building B,4,128.34,230.33,normal,2025-12-03T13:05:07.644025+00:00
Building B,4,93.04,169.22,normal,2025-11-17T22:36:10.644025+00:00
Building B,4,99.48,267.8,normal,2025-11-30T04:37:51.644025+00:00
Building B,5,201.04,293.12,normal,2025-11-28T16:03:56.644025+00:00
Building B,2,114.42,270.11,normal,2025-11-18T03:48:20.644025+00:00
Building B,4,125.73,206.13,normal,2025-12-06T00:15:31.644025+00:00
Building A,5,264.1,498.36,anomaly,2025-12-04T12:43:44.644025+00:00
Building B,2,125.06,247.39,normal,2025-12-07T10:43:41.644025+00:00
Building C,4,399.78,594.61,anomaly,2025-11-26T20:05:01.644025+00:00
Building A,3,81.72,151.46,normal,2025-11-22T02:35:31.644025+00:00
Building C,3,117.76,264.3,normal,2025-11-17T14:22:47.644025+00:00
Building A,3,122.1,204.92,normal,2025-11-30T22:33:23.644025+00:00
Building B,2,330.8,637.06,anomaly,2025-12-08T06:21:40.644025+00:00
Building B,2,94.09,205.78,normal,2025-11-27T06:13:30.644025+00:00
Building C,2,307.23,490.84,anomaly,2025-11-28T05:36:57.644025+00:00
Building B,2,112.13,293.61,normal,2025-12-01T18:39:36.644025+00:00
Building C,3,113.61,213.16,normal,2025-11-26T00:34:40.644025+00:00
Building C,2,116.8,207.85,normal,2025-11-22T23:03:26.644025+00:00
Building C,4,98.95,195.94,normal,2025-11-19T02:56:38.644025+00:00
Building A,5,145.9,279.76,normal,2025-12-03T15:07:46.644025+00:00
Building B,5,117.28,391.08,normal,2025-11-27T13:01:15.644025+00:00
Building A,2,125.2,204.08,normal,2025-11-29T18:28:50.644025+00:00
Building A,4,100.28,216.33,normal,2025-12-12T20:26:13.644025+00:00
Building A,1,98.59,249.97,normal,2025-11-30T19:09:08.644025+00:00
Building C,1,69.19,174.11,normal,2025-11-19T22:37:11.644025+00:00
Building C,4,137.1,182.6,normal,2025-12-05T17:00:55.644025+00:00
Building B,5,163.79,222.35,normal,2025-11-23T16:17:28.644025+00:00
Building C,1,146.98,281.04,normal,2025-11-19T09:27:51.644025+00:00
Building B,1,106.69,262.13,normal,2025-12-15T19:23:43.644025+00:00
Building C,3,144.03,174.12,normal,2025-12-15T12:32:09.644025+00:00
Building A,1,125.65,206.75,normal,2025-11-21T09:54:17.644025+00:00
Building B,1,111.79,209.41,normal,2025-12-06T16:03:44.644025+00:00
Building C,1,148.95,209.0,normal,2025-12-14T13:24:03.644025+00:00
Building C,5,98.2,252.92,normal,2025-11-22T19:55:25.644025+00:00
Building B,2,143.53,337.55,normal,2025-12-11T14:47:55.644025+00:00
Building B,3,166.98,239.19,normal,2025-11-16T18:06:56.644025+00:00
Building B,4,123.82,183.04,normal,2025-12-04T21:00:19.644025+00:00
Building C,2,72.01,146.87,normal,2025-11-17T00:22:55.644025+00:00
Building B,4,128.04,188.6,normal,2025-12-11T00:28:43.644025+00:00
Building A,3,114.85,169.06,normal,2025-11-21T02:31:47.644025+00:00
Building A,1,69.72,131.26,normal,2025-12-07T23:37:34.644025+00:00
Building C,2,110.43,176.42,normal,2025-11-24T11:52:51.644025+00:00
Building B,3,163.99,325.36,normal,2025-11-20T18:41:55.644025+00:00
Building B,3,136.87,285.23,normal,2025-11-16T12:14:20.644025+00:00
Building A,3,134.79,319.2,normal,2025-11-25T11:50:27.644025+00:00
Building C,5,102.27,304.13,normal,2025-11-19T15:23:08.644025+00:00
Building A,1,68.04,198.88,normal,2025-11-20T01:17:14.644025+00:00
Building A,1,94.88,132.62,normal,2025-12-11T07:09:29.644025+00:00
Building A,2,93.84,304.07,normal,2025-12-13T08:45:24.644025+00:00
Building B,4,138.96,341.89,normal,2025-12-14T14:50:21.644025+00:00
Building A,2,94.73,276.16,normal,2025-11-29T12:08:35.644025+00:00
Building C,4,158.75,243.39,normal,2025-11-25T11:28:21.644025+00:00
Building C,1,108.61,126.23,normal,2025-11-16T03:15:28.644025+00:00
Building C,2,125.22,169.77,normal,2025-12-14T17:11:36.644025+00:00
Building A,1,153.18,266.86,normal,2025-12-05T16:11:51.644025+00:00
Building A,2,100.59,201.15,normal,2025-12-03T09:20:20.644025+00:00
Building B,1,161.38,208.57,normal,2025-12-15T08:48:08.644025+00:00
Building A,2,108.75,198.04,normal,2025-12-01T07:33:39.644025+00:00
Building B,4,131.07,306.08,normal,2025-12-07T17:29:26.644025+00:00
Building B,1,135.41,191.91,normal,2025-11-19T20:12:46.644025+00:00
Building C,4,125.99,196.39,normal,2025-12-07T01:36:08.644025+00:00
Building B,2,112.48,225.35,normal,2025-12-14T06:07:21.644025+00:00
Building B,1,284.18,582.54,anomaly,2025-11-25T17:17:02.644025+00:00
Building A,1,83.24,154.93,normal,2025-12-01T20:11:53.644025+00:00
Building A,4,80.76,233.57,normal,2025-11-25T22:27:06.644025+00:00
Building B,2,155.37,204.58,normal,2025-12-02T21:18:57.644025+00:00
Building A,5,150.45,297.92,normal,2025-11-17T11:59:21.644025+00:00
Building A,1,83.05,145.72,normal,2025-12-11T04:21:14.644025+00:00
Building C,4,312.51,501.55,anomaly,2025-12-01T21:22:34.644025+00:00
Building C,4,112.92,147.91,normal,2025-11-25T21:11:16.644025+00:00
Building B,2,125.49,252.15,normal,2025-12-04T08:51:22.644025+00:00
Building C,1,82.44,170.08,normal,2025-11-29T20:11:39.644025+00:00
Building A,1,94.63,181.14,normal,2025-12-01T23:00:02.644025+00:00
Building C,2,148.65,238.39,normal,2025-11-21T08:38:20.644025+00:00
Building A,3,258.02,490.55,anomaly,2025-12-11T23:10:03.644025+00:00
Building B,1,116.33,219.75,normal,2025-11-22T00:54:20.644025+00:00
Building B,4,108.57,182.12,normal,2025-12-06T20:01:54.644025+00:00
Building A,3,123.3,136.76,normal,2025-11-26T01:56:28.644025+00:00
Building A,2,128.24,201.69,normal,2025-11-27T10:27:11.644025+00:00
Building A,4,142.09,279.89,normal,2025-12-10T09:12:02.644025+00:00
Building A,4,115.81,173.7,normal,2025-11-28T03:53:26.644025+00:00
Building B,5,89.22,194.05,normal,2025-11-25T03:26:20.644025+00:00
Building C,3,100.04,164.12,normal,2025-11-16T00:39:50.644025+00:00
Building B,5,165.73,266.26,normal,2025-11-21T19:33:22.644025+00:00
Building B,2,117.21,198.45,normal,2025-11-16T03:50:20.644025+00:00
Building A,1,96.91,162.07,normal,2025-12-15T04:04:15.644025+00:00
Building A,2,147.13,280.06,normal,2025-11-29T16:06:16.644025+00:00
Building A,2,130.78,210.58,normal,2025-12-06T18:00:36.644025+00:00
Building C,1,100.31,232.29,normal,2025-11-18T09:48:07.644025+00:00
Building C,2,84.52,144.03,normal,2025-11-29T07:12:25.644025+00:00
Building B,2,112.86,186.03,normal,2025-11-25T00:37:10.644025+00:00
Building C,3,92.27,212.39,normal,2025-11-24T22:47:27.644025+00:00
Building B,5,159.25,311.1,normal,2025-11-21T10:57:47.644025+00:00
Building B,5,199.84,262.29,normal,2025-11-30T16:59:53.644025+00:00
Building C,3,78.35,210.81,normal,2025-12-14T02:24:56.644025+00:00
Building A,1,256.79,554.47,anomaly,2025-11-26T01:15:49.644025+00:00
Building C,2,129.81,178.88,normal,2025-12-09T20:10:30.644025+00:00
Building A,4,131.2,231.62,normal,2025-12-10T21:45:07.644025+00:00
Building C,5,122.06,208.52,normal,2025-12-07T02:21:36.644025+00:00
Building B,1,119.1,225.63,normal,2025-11-26T13:28:07.644025+00:00
Building B,5,146.92,222.59,normal,2025-12-07T21:31:35.644025+00:00
Building C,3,93.47,263.46,normal,2025-11-26T17:21:14.644025+00:00
Building C,2,92.34,210.68,normal,2025-12-08T13:41:22.644025+00:00
Building B,3,115.19,218.18,normal,2025-11-26T05:54:55.644025+00:00
Building A,2,112.51,300.95,normal,2025-12-09T11:50:10.644025+00:00
Building C,3,83.57,166.07,normal,2025-11-25T03:28:20.644025+00:00
Building A,4,118.23,278.07,normal,2025-11-23T09:11:44.644025+00:00
Building C,4,77.18,201.84,normal,2025-12-04T01:13:50.644025+00:00
Building A,5,98.61,177.35,normal,2025-11-21T05:41:43.644025+00:00
Building A,5,93.54,199.44,normal,2025-12-01T05:24:25.644025+00:00
Building A,1,317.29,639.45,anomaly,2025-11-26T15:06:39.644025+00:00
Building C,4,114.86,220.05,normal,2025-11-27T03:08:04.644025+00:00
Building B,3,111.66,321.86,normal,2025-11-20T16:08:18.644025+00:00
Building B,3,149.76,219.04,normal,2025-11-29T15:46:34.644025+00:00
Building B,1,100.96,284.45,normal,2025-11-17T08:46:19.644025+00:00
Building B,2,142.8,191.82,normal,2025-11-30T22:05:23.644025+00:00
Building A,4,133.85,164.11,normal,2025-12-15T00:22:24.644025+00:00
Building C,3,75.03,188.86,normal,2025-11-30T00:29:28.644025+00:00
Building A,4,264.3,615.75,anomaly,2025-12-13T05:15:05.644025+00:00
Building C,3,117.06,252.44,normal,2025-11-24T16:45:07.644025+00:00
Building B,1,86.65,191.38,normal,2025-12-12T04:06:42.644025+00:00
Building A,4,167.23,260.42,normal,2025-12-13T09:19:53.644025+00:00
Building A,5,160.65,206.18,normal,2025-11-26T14:18:54.644025+00:00
Building C,1,250.02,589.87,anomaly,2025-11-21T05:25:05.644025+00:00
Building A,4,314.98,483.36,anomaly,2025-11-29T23:51:19.644025+00:00
Building A,1,378.53,604.21,anomaly,2025-12-08T10:10:58.644025+00:00
Building C,5,124.67,286.32,normal,2025-12-01T16:19:21.644025+00:00
Building A,3,125.68,153.86,normal,2025-12-04T23:14:42.644025+00:00
Building A,1,261.79,612.14,anomaly,2025-11-23T07:52:10.644025+00:00
Building C,5,109.45,230.03,normal,2025-11-23T07:20:33.644025+00:00
Building B,1,91.61,228.11,normal,2025-11-16T01:44:12.644025+00:00
Building C,3,104.08,155.02,normal,2025-11-30T06:15:28.644025+00:00
Building C,3,83.17,130.55,normal,2025-11-26T07:54:05.644025+00:00
Building B,5,161.31,314.85,normal,2025-12-09T10:52:30.644025+00:00
Building C,3,140.98,226.55,normal,2025-11-24T15:10:38.644025+00:00
Building B,4,151.78,197.37,normal,2025-11-22T01:43:44.644025+00:00
Building A,4,172.18,196.43,normal,2025-12-12T10:03:45.644025+00:00
Building A,3,110.79,136.12,normal,2025-11-30T23:23:21.644025+00:00
Building B,2,270.11,474.41,anomaly,2025-11-30T04:31:42.644025+00:00
Building A,5,113.17,167.5,normal,2025-12-01T03:55:29.644025+00:00
Building A,2,100.29,206.47,normal,2025-12-11T08:11:44.644025+00:00
Building B,5,332.47,475.86,anomaly,2025-12-13T16:40:04.644025+00:00
Building C,2,137.75,190.62,normal,2025-12-09T13:07:55.644025+00:00
Building A,5,170.14,215.59,normal,2025-11-30T08:27:04.644025+00:00
Building B,2,114.94,264.75,normal,2025-12-04T05:24:29.644025+00:00
Building A,5,86.63,187.23,normal,2025-12-01T00:30:29.644025+00:00
Building B,5,153.57,261.89,normal,2025-11-30T01:25:10.644025+00:00
Building C,1,69.76,152.88,normal,2025-12-01T04:42:25.644025+00:00
Building B,5,134.81,370.38,normal,2025-11-23T11:41:13.644025+00:00
Building B,2,127.91,225.49,normal,2025-11-25T14:21:06.644025+00:00
Building C,2,143.5,235.69,normal,2025-11-17T13:32:34.644025+00:00
Building A,5,97.28,147.14,normal,2025-11-17T04:09:45.644025+00:00
Building A,1,68.19,185.71,normal,2025-11-28T06:43:28.644025+00:00
Building B,5,393.83,482.19,anomaly,2025-12-15T21:23:44.644025+00:00
Building C,5,98.07,178.9,normal,2025-12-08T18:59:22.644025+00:00
Building C,2,120.4,169.92,normal,2025-11-28T05:11:51.644025+00:00
Building A,3,130.11,198.4,normal,2025-11-19T19:06:54.644025+00:00
Building A,4,125.6,189.69,normal,2025-11-17T04:41:00.644025+00:00
Building C,2,103.98,166.29,normal,2025-12-14T04:14:04.644025+00:00
Building C,3,86.36,251.31,normal,2025-12-10T21:30:28.644025+00:00
Building A,4,144.43,213.2,normal,2025-12-14T11:37:31.644025+00:00
Building C,2,117.63,161.32,normal,2025-12-05T22:11:43.644025+00:00
Building B,5,160.87,262.43,normal,2025-12-03T16:04:08.644025+00:00
Building B,5,177.49,323.99,normal,2025-12-04T12:54:52.644025+00:00
Building B,5,149.37,323.66,normal,2025-12-12T21:22:00.644025+00:00
Building A,5,297.48,494.58,anomaly,2025-12-14T03:25:20.644025+00:00
Building A,1,116.84,268.07,normal,2025-11-23T13:03:17.644025+00:00
Building C,1,98.88,160.96,normal,2025-12-07T17:18:04.644025+00:00
Building B,4,157.84,248.79,normal,2025-11-17T16:41:37.644025+00:00
Building B,4,131.22,243.22,normal,2025-12-14T23:26:39.644025+00:00
Building B,2,87.82,153.94,normal,2025-12-03T07:12:29.644025+00:00
Building B,3,131.32,310.81,normal,2025-11-25T08:26:23.644025+00:00
Building C,5,348.07,481.95,anomaly,2025-12-02T20:00:11.644025+00:00
Building C,5,356.0,601.81,anomaly,2025-12-11T17:27:05.644025+00:00
Building A,5,98.1,288.42,normal,2025-11-25T16:54:36.644025+00:00
Building C,1,113.04,209.22,normal,2025-12-10T17:00:47.644025+00:00
Building A,5,285.14,515.18,anomaly,2025-12-02T04:40:44.644025+00:00
Building C,5,124.99,204.95,normal,2025-12-12T01:38:28.644025+00:00
Building B,4,124.84,220.51,normal,2025-12-09T10:10:14.644025+00:00
Building A,5,113.64,278.42,normal,2025-11-29T19:29:59.644025+00:00
Building A,3,97.26,205.47,normal,2025-11-18T07:53:53.644025+00:00
Building B,1,109.26,262.24,normal,2025-12-14T01:20:45.644025+00:00
Building A,5,102.02,181.01,normal,2025-12-07T02:39:42.644025+00:00
Building A,4,113.13,224.73,normal,2025-12-11T17:02:44.644025+00:00
Building A,2,106.66,202.88,normal,2025-11-25T02:35:45.644025+00:00
Building B,2,132.17,258.21,normal,2025-11-26T07:28:15.644025+00:00
Building A,1,86.05,202.54,normal,2025-11-18T05:04:42.644025+00:00
Building A,5,120.83,154.68,normal,2025-11-20T00:46:05.644025+00:00
Building C,3,81.5,191.67,normal,2025-11-20T04:14:21.644025+00:00
Building A,5,157.89,292.33,normal,2025-11-25T16:46:38.644025+00:00
Building C,3,150.94,235.86,normal,2025-11-27T16:39:47.644025+00:00
Building B,5,188.43,310.02,normal,2025-11-18T10:35:28.644025+00:00
Building B,2,124.2,233.09,normal,2025-12-04T13:48:07.644025+00:00
Building B,2,305.19,586.31,anomaly,2025-12-08T04:28:20.644025+00:00
Building B,3,148.02,212.91,normal,2025-12-14T09:42:50.644025+00:00
Building C,5,152.59,287.85,normal,2025-12-01T17:35:44.644025+00:00
Building B,5,99.65,196.14,normal,2025-12-06T05:31:27.644025+00:00
Building A,2,138.81,223.47,normal,2025-11-17T20:38:22.644025+00:00
Building A,4,106.08,212.8,normal,2025-12-04T05:38:15.644025+00:00
Building B,5,377.05,533.68,anomaly,2025-11-30T16:44:23.644025+00:00
Building C,4,124.1,196.4,normal,2025-12-14T03:52:39.644025+00:00
Building B,4,112.45,193.43,normal,2025-12-07T23:31:44.644025+00:00
Building A,1,150.99,196.9,normal,2025-12-14T17:25:17.644025+00:00
Building B,4,149.07,366.65,normal,2025-11-18T12:53:54.644025+00:00
Building B,1,134.84,173.01,normal,2025-12-14T22:44:24.644025+00:00
Building C,4,104.05,176.61,normal,2025-11-28T19:47:05.644025+00:00
Building A,5,90.64,141.6,normal,2025-12-12T03:56:47.644025+00:00
Building A,3,353.81,517.45,anomaly,2025-12-04T05:06:02.644025+00:00
Building B,1,95.32,197.08,normal,2025-11-20T02:34:29.644025+00:00
Building C,3,87.61,185.08,normal,2025-11-16T07:24:20.644025+00:00
Building A,5,114.56,194.56,normal,2025-11-23T00:50:16.644025+00:00
Building A,5,153.52,287.41,normal,2025-12-01T08:37:51.644025+00:00
Building C,4,106.18,165.95,normal,2025-12-14T05:14:18.644025+00:00
Building B,3,267.69,536.22,anomaly,2025-11-29T07:00:59.644025+00:00
Building C,3,126.18,214.24,normal,2025-11-29T18:06:59.644025+00:00
Building C,1,64.94,212.41,normal,2025-12-06T02:34:01.644025+00:00
Building A,1,154.64,274.01,normal,2025-12-14T17:41:35.644025+00:00
Building A,4,272.83,520.09,anomaly,2025-11-21T12:15:09.644025+00:00
Building A,1,113.75,273.76,normal,2025-11-20T17:23:04.644025+00:00
Building C,3,143.61,227.27,normal,2025-11-27T13:33:44.644025+00:00
Building A,1,136.94,163.86,normal,2025-11-29T13:00:02.644025+00:00
Building A,1,69.32,191.1,normal,2025-12-03T06:27:59.644025+00:00
Building A,2,116.62,187.98,normal,2025-11-18T02:31:34.644025+00:00
Building B,4,158.87,271.31,normal,2025-11-29T20:25:12.644025+00:00
Building B,2,92.19,247.96,normal,2025-11-24T06:06:44.644025+00:00
Building C,2,122.44,199.74,normal,2025-11-27T09:37:37.644025+00:00
Building B,5,162.11,278.97,normal,2025-11-18T13:42:52.644025+00:00
Building C,2,101.67,148.75,normal,2025-11-30T04:34:04.644025+00:00
Building C,5,101.6,161.52,normal,2025-11-20T23:14:50.644025+00:00
Building A,4,107.91,264.96,normal,2025-11-28T20:06:03.644025+00:00
Building A,3,118.74,216.19,normal,2025-12-12T15:37:35.644025+00:00
Building B,4,109.26,310.91,normal,2025-12-10T10:07:22.644025+00:00
Building A,3,126.12,169.12,normal,2025-11-24T01:56:53.644025+00:00
Building C,2,86.69,187.88,normal,2025-11-16T00:56:13.644025+00:00
Building A,3,139.2,228.83,normal,2025-11-30T11:49:20.644025+00:00
Building B,5,103.07,280.8,normal,2025-12-02T00:22:41.644025+00:00
Building C,2,351.96,477.61,anomaly,2025-12-04T15:11:41.644025+00:00
Building C,3,125.62,295.54,normal,2025-11-20T15:46:12.644025+00:00
Building A,5,75.99,152.62,normal,2025-12-07T03:53:15.644025+00:00
Building B,2,81.53,221.07,normal,2025-12-03T01:23:19.644025+00:00
Building A,4,117.11,279.11,normal,2025-11-25T17:05:21.644025+00:00
Building A,1,144.21,247.52,normal,2025-12-12T08:43:18.644025+00:00
Building C,1,102.78,141.5,normal,2025-12-04T19:14:09.644025+00:00
Building A,4,168.24,274.2,normal,2025-12-03T10:41:22.644025+00:00
Building C,1,92.72,255.09,normal,2025-12-07T15:26:05.644025+00:00
Building B,5,89.61,229.15,normal,2025-12-15T01:11:34.644025+00:00
Building C,2,108.58,246.91,normal,2025-11-26T20:21:09.644025+00:00
Building B,4,95.98,158.97,normal,2025-11-30T04:02:37.644025+00:00
Building A,1,83.6,181.02,normal,2025-11-24T02:00:52.644025+00:00
Building B,2,170.51,324.12,normal,2025-12-11T16:54:14.644025+00:00
Building B,3,126.04,312.07,normal,2025-12-08T19:49:18.644025+00:00
Building A,5,133.53,164.77,normal,2025-11-21T04:22:50.644025+00:00
Building C,4,150.65,175.75,normal,2025-11-18T11:24:11.644025+00:00
Building C,2,83.62,185.23,normal,2025-11-22T20:32:02.644025+00:00
Building A,5,101.14,285.14,normal,2025-12-14T14:38:12.644025+00:00
Building A,5,120.45,273.55,normal,2025-12-09T21:31:57.644025+00:00
Building B,3,124.92,319.2,normal,2025-11-21T08:59:02.644025+00:00
Building C,3,83.56,155.68,normal,2025-12-03T02:24:27.644025+00:00
Building B,2,126.72,254.94,normal,2025-12-13T05:21:11.644025+00:00
Building C,5,154.86,198.57,normal,2025-12-01T10:48:41.644025+00:00
Building C,3,106.32,200.57,normal,2025-11-21T22:51:09.644025+00:00
Building A,3,71.8,238.32,normal,2025-12-06T22:54:34.644025+00:00
Building C,1,100.16,223.76,normal,2025-12-09T16:29:47.644025+00:00
Building B,4,110.79,260.9,normal,2025-12-08T06:02:29.644025+00:00
Building C,3,86.24,148.85,normal,2025-11-27T05:01:17.644025+00:00
Building A,3,128.66,248.78,normal,2025-11-23T20:38:41.644025+00:00
Building A,3,104.49,233.27,normal,2025-12-05T04:25:13.644025+00:00
Building C,2,109.97,174.68,normal,2025-12-05T07:13:10.644025+00:00
Building B,2,86.88,249.24,normal,2025-12-03T23:23:15.644025+00:00
